note,auteur,avis,assureur,produit,type,date_publication,date_exp,avis_en,avis_cor,avis_cor_en,source_file,avis_clean,avis_clean_fr,avis_light,avis_cor_clean,avis_en_clean,avis_cor_en_clean
4,sylvain-b-126903,"La personne au téléphone pendant ma pause de midi .... super !
Ce soir, je complète le dossier, demain je suis assuré et dimanche je récupère le nouveau bébé ^^
Merci.",AMV,moto,train,2021-08-06,2021-08-01,"The person on the phone during my lunch break .... great!
Tonight, I complete the file, tomorrow I am insured and Sunday I get the new baby ^^
Thank you.",La personne au téléphone pendant ma pause de midi p.p. super ! Ce soir je complète le dossier demain je suis assuré et dimanche je récupère le nouveau bébé de merci,The person on the phone during my lunch break p.p. great! This evening I complete the file tomorrow I am insured and Sunday I collect the new baby thank you,avis_7_traduit.xlsx,la personne au téléphone pendant ma pause de midi super ce soir je complète le dossier demain je suis assuré et dimanche je récupère le nouveau bébé merci,la personne au téléphone pendant ma pause de midi super ce soir je complète le dossier demain je suis assuré et dimanche je récupère le nouveau bébé merci,"La personne au téléphone pendant ma pause de midi .... super ! Ce soir, je complète le dossier, demain je suis assuré et dimanche je récupère le nouveau bébé ^^ Merci.",la personne au téléphone pendant ma pause de midi p p super ce soir je complète le dossier demain je suis assuré et dimanche je récupère le nouveau bébé de merci,the person on the phone during my lunch break great tonight i complete the file tomorrow i am insured and sunday i get the new baby thank you,the person on the phone during my lunch break p p great this evening i complete the file tomorrow i am insured and sunday i collect the new baby thank you
1,pj78000-92177,"Je suis sociétaire depuis des années, aucun sinistre déclaré depuis que je suis assuré avec mes 3 machines ! 50% de bonus ! la prime d'assurance augmente de 23 % sans raison, c'est inacceptable, je prends mes 3 motos et je vais m'assurer ailleures.
",Mutuelle des Motards,moto,train,2021-03-15,2021-03-01,"I have been a member for years, no claim declared since I was insured with my 3 machines! 50% bonus! The insurance premium increases by 23 % for no reason, it is unacceptable, I take my 3 motorcycles and I will make sure.
",Je suis sociétaire depuis des années aucun sinistre déclaré depuis que je suis assuré avec mes 3 machines ! 50% de bonus ! la prime assurance augmente de 23 % sans raison est inacceptable je prends mes 3 motos et je vais assurer ailleurs,"I have been a member for years, no claims reported since I was insured with my 3 machines! 50% bonus! the insurance premium increases by 23% for no reason is unacceptable I am taking my 3 motorcycles and I will insure elsewhere",avis_3_traduit.xlsx,je suis sociétaire depuis des années aucun sinistre déclaré depuis que je suis assuré avec mes 3 machines 50 de bonus la prime d assurance augmente de 23 sans raison c est inacceptable je prends mes 3 motos et je vais m assurer ailleures,je suis sociétaire depuis des années aucun sinistre déclaré depuis que je suis assuré avec mes 3 machines 50 de bonus la prime d assurance augmente de 23 sans raison c est inacceptable je prends mes 3 motos et je vais m assurer ailleures,"Je suis sociétaire depuis des années, aucun sinistre déclaré depuis que je suis assuré avec mes 3 machines ! 50% de bonus ! la prime d'assurance augmente de 23 % sans raison, c'est inacceptable, je prends mes 3 motos et je vais m'assurer ailleures.",je suis sociétaire depuis des années aucun sinistre déclaré depuis que je suis assuré avec mes 3 machines 50 de bonus la prime assurance augmente de 23 sans raison est inacceptable je prends mes 3 motos et je vais assurer ailleurs,i have been a member for years no claim declared since i was insured with my 3 machines 50 bonus the insurance premium increases by 23 for no reason it is unacceptable i take my 3 motorcycles and i will make sure,i have been a member for years no claims reported since i was insured with my 3 machines 50 bonus the insurance premium increases by 23 for no reason is unacceptable i am taking my 3 motorcycles and i will insure elsewhere
4,gilles-l-116929,"je suis insatisfait du service.
je souscrit un contrat tout risque et en cas d'immobilisation du véhicule on ne peut accéder a un prêt de véhicule
cordialement",Direct Assurance,auto,train,2021-06-14,2021-06-01,"I am dissatisfied with the service.
I take out a contract any risk and in the event of immobilization of the vehicle one cannot access a vehicle loan
Cordially",je suis insatisfait du service je souscrit un contrat tout risque et en cas immobilisation du véhicule on ne peut accéder a un prêt de véhicule cordialement,I am dissatisfied with the service I take out an all-risk contract and in the event of immobilization of the vehicle we cannot access a vehicle loan. Kind regards,avis_20_traduit.xlsx,je suis insatisfait du service je souscrit un contrat tout risque et en cas d immobilisation du véhicule on ne peut accéder a un prêt de véhicule cordialement,je suis insatisfait du service je souscrit un contrat tout risque et en cas d immobilisation du véhicule on ne peut accéder a un prêt de véhicule cordialement,je suis insatisfait du service. je souscrit un contrat tout risque et en cas d'immobilisation du véhicule on ne peut accéder a un prêt de véhicule cordialement,je suis insatisfait du service je souscrit un contrat tout risque et en cas immobilisation du véhicule on ne peut accéder a un prêt de véhicule cordialement,i am dissatisfied with the service i take out a contract any risk and in the event of immobilization of the vehicle one cannot access a vehicle loan cordially,i am dissatisfied with the service i take out an all risk contract and in the event of immobilization of the vehicle we cannot access a vehicle loan kind regards
5,chollet-a-115464,"Très satisfait de cette assurance, d'autant plus pour une première voiture, prix très honnêtes, bonne couverture globale proposée par vos services....",L'olivier Assurance,auto,train,2021-05-31,2021-05-01,"Very satisfied with this insurance, all the more for a first car, very honest price, good overall coverage offered by your services ....",Très satisfait de cette assurance autant plus pour une première voiture prix très honnêtes bonne couverture globale proposée par vos services....,"Very satisfied with this insurance, especially for a first car, very honest prices, good overall coverage offered by your services....",avis_12_traduit.xlsx,très satisfait de cette assurance d autant plus pour une première voiture prix très honnêtes bonne couverture globale proposée par vos services,très satisfait de cette assurance d autant plus pour une première voiture prix très honnêtes bonne couverture globale proposée par vos services,"Très satisfait de cette assurance, d'autant plus pour une première voiture, prix très honnêtes, bonne couverture globale proposée par vos services....",très satisfait de cette assurance autant plus pour une première voiture prix très honnêtes bonne couverture globale proposée par vos services,very satisfied with this insurance all the more for a first car very honest price good overall coverage offered by your services,very satisfied with this insurance especially for a first car very honest prices good overall coverage offered by your services
5,mbarka-k-110075,bonjour je suis  tres satisfaites de vous service et les conseiller sont très a l écoute  et la gestion des dossier rien a dire  merci et bonne journee,Direct Assurance,auto,train,2021-04-12,2021-04-01,hello I am very satisfied with you service and advise them are very listening and the management of files nothing to say thank you and good day,bonjour je suis très satisfaites de vous service et les conseiller sont très a l écoute et la gestion des dossier rien a dire merci et bonne journée,hello I am very satisfied with your service and the advisors are very attentive and the management of files nothing to say thank you and have a good day,avis_21_traduit.xlsx,bonjour je suis tres satisfaites de vous service et les conseiller sont très a l écoute et la gestion des dossier rien a dire merci et bonne journee,bonjour je suis tres satisfaites de vous service et les conseiller sont très a l écoute et la gestion des dossier rien a dire merci et bonne journee,bonjour je suis tres satisfaites de vous service et les conseiller sont très a l écoute et la gestion des dossier rien a dire merci et bonne journee,bonjour je suis très satisfaites de vous service et les conseiller sont très a l écoute et la gestion des dossier rien a dire merci et bonne journée,hello i am very satisfied with you service and advise them are very listening and the management of files nothing to say thank you and good day,hello i am very satisfied with your service and the advisors are very attentive and the management of files nothing to say thank you and have a good day
1,billy-75889,"Attention pour le placement assurance retraite 
obliger de rester 20 ans sinon si vous arrêtez votre contrat avant le terme  un rendu de 65% seulement et des difficultés pour le rompre ",Afi Esca,credit,train,2019-05-14,2019-05-01,"Attention for retirement insurance investment
oblige to stay 20 years otherwise if you stop your contract before the term a rendering of only 65% ​​and difficulties in breaking it",Attention pour le placement assurance retraite obliger de rester 20 ans sinon si vous arrêtez votre contrat avant le terme un rendu de 65% seulement et des difficultés pour le rompre,"Be careful when investing in retirement insurance, you have to stay for 20 years, otherwise if you end your contract before the end, only 65% ​​will be returned and difficulties in breaking it.",avis_5_traduit.xlsx,attention pour le placement assurance retraite obliger de rester 20 ans sinon si vous arrêtez votre contrat avant le terme un rendu de 65 seulement et des difficultés pour le rompre,attention pour le placement assurance retraite obliger de rester 20 ans sinon si vous arrêtez votre contrat avant le terme un rendu de 65 seulement et des difficultés pour le rompre,Attention pour le placement assurance retraite obliger de rester 20 ans sinon si vous arrêtez votre contrat avant le terme un rendu de 65% seulement et des difficultés pour le rompre,attention pour le placement assurance retraite obliger de rester 20 ans sinon si vous arrêtez votre contrat avant le terme un rendu de 65 seulement et des difficultés pour le rompre,attention for retirement insurance investment oblige to stay 20 years otherwise if you stop your contract before the term a rendering of only 65 and difficulties in breaking it,be careful when investing in retirement insurance you have to stay for 20 years otherwise if you end your contract before the end only 65 will be returned and difficulties in breaking it
1,mmj-98060,"Quand tout va bien...  rien à dire ! Mais quand arrive un sinistre,  ça change et là, c'est la déception !  Cinq mois d'attente avant de voir  mon dossier sinistre rouvert, mais pour cela, il a fallu que je me manifeste.  Et que dire des contacts téléphoniques  avec attente de vingt minutes avant d'avoir, avec un peu de chance, un interlocuteur, car plus d'une fois cette attente a brusquement pris fin avec un signal d'occupation. 
 Donc : mécontentement de la gestion des dossiers sinistres habitation. ",GMF,habitation,train,2020-09-30,2020-09-01,"When everything is fine ... nothing to say! But when a disaster arrives, it changes and there, it is disappointment! Five months of waiting before seeing my sinister file reopened, but for that, I had to manifest myself. And what about telephone contacts waiting for twenty minutes before having, with a little luck, an interlocutor, because more than once this expectation has suddenly ended with an occupation signal.
 So: dissatisfaction with the management of habitation claims.","Quand tout va bien... rien à dire ! Mais quand arrive un sinistre ça change et là est la déception ! Cinq mois attente avant de voir mon dossier sinistre rouvert mais pour cela il a fallu que je me manifeste Et que dire des contacts téléphoniques avec attente de vingt minutes avant d'avoir, avec un peu de chance un interlocuteur car plus dune fois cette attente a brusquement pris fin avec un signal d'occupation. Donc : mécontentement de la gestion des dossiers sinistres habitations","When everything is going well... nothing to say! But when a disaster happens, things change and that’s the disappointment! Five months of waiting before seeing my claims file reopened but for that I had to come forward. And what about the telephone contacts with waiting for twenty minutes before having, with a little luck, a contact because more than once this waiting abruptly ended with a busy signal. So: dissatisfaction with the management of home claims files",avis_14_traduit.xlsx,quand tout va bien rien à dire mais quand arrive un sinistre ça change et là c est la déception cinq mois d attente avant de voir mon dossier sinistre rouvert mais pour cela il a fallu que je me manifeste et que dire des contacts téléphoniques avec attente de vingt minutes avant d avoir avec un peu de chance un interlocuteur car plus d une fois cette attente a brusquement pris fin avec un signal d occupation donc mécontentement de la gestion des dossiers sinistres habitation,quand tout va bien rien à dire mais quand arrive un sinistre ça change et là c est la déception cinq mois d attente avant de voir mon dossier sinistre rouvert mais pour cela il a fallu que je me manifeste et que dire des contacts téléphoniques avec attente de vingt minutes avant d avoir avec un peu de chance un interlocuteur car plus d une fois cette attente a brusquement pris fin avec un signal d occupation donc mécontentement de la gestion des dossiers sinistres habitation,"Quand tout va bien... rien à dire ! Mais quand arrive un sinistre, ça change et là, c'est la déception ! Cinq mois d'attente avant de voir mon dossier sinistre rouvert, mais pour cela, il a fallu que je me manifeste. Et que dire des contacts téléphoniques avec attente de vingt minutes avant d'avoir, avec un peu de chance, un interlocuteur, car plus d'une fois cette attente a brusquement pris fin avec un signal d'occupation. Donc : mécontentement de la gestion des dossiers sinistres habitation.",quand tout va bien rien à dire mais quand arrive un sinistre ça change et là est la déception cinq mois attente avant de voir mon dossier sinistre rouvert mais pour cela il a fallu que je me manifeste et que dire des contacts téléphoniques avec attente de vingt minutes avant d avoir avec un peu de chance un interlocuteur car plus dune fois cette attente a brusquement pris fin avec un signal d occupation donc mécontentement de la gestion des dossiers sinistres habitations,when everything is fine nothing to say but when a disaster arrives it changes and there it is disappointment five months of waiting before seeing my sinister file reopened but for that i had to manifest myself and what about telephone contacts waiting for twenty minutes before having with a little luck an interlocutor because more than once this expectation has suddenly ended with an occupation signal so dissatisfaction with the management of habitation claims,when everything is going well nothing to say but when a disaster happens things change and that s the disappointment five months of waiting before seeing my claims file reopened but for that i had to come forward and what about the telephone contacts with waiting for twenty minutes before having with a little luck a contact because more than once this waiting abruptly ended with a busy signal so dissatisfaction with the management of home claims files
4,christopher--b-135102,"Simple pratique, de supers prix
Personnel dispo rapidement par téléphone
Très satisfait nos voiture sont assurés chez direct assurance
Continuez comme ça ",Direct Assurance,auto,train,2021-09-29,2021-09-01,"Simple practice, of great price
Staff available quickly by phone
Very satisfied our cars are insured at Direct Insurance
Continue like that",Simple pratique de super prix Personnel disco rapidement par téléphone Très satisfait nos voiture sont assurés chez direct assurance Continuez comme ça,Simple practical super price Disco staff quickly by phone Very satisfied our cars are insured with direct insurance Keep it up,avis_24_traduit.xlsx,simple pratique de supers prix personnel dispo rapidement par téléphone très satisfait nos voiture sont assurés chez direct assurance continuez comme ça,simple pratique de supers prix personnel dispo rapidement par téléphone très satisfait nos voiture sont assurés chez direct assurance continuez comme ça,"Simple pratique, de supers prix Personnel dispo rapidement par téléphone Très satisfait nos voiture sont assurés chez direct assurance Continuez comme ça",simple pratique de super prix personnel disco rapidement par téléphone très satisfait nos voiture sont assurés chez direct assurance continuez comme ça,simple practice of great price staff available quickly by phone very satisfied our cars are insured at direct insurance continue like that,simple practical super price disco staff quickly by phone very satisfied our cars are insured with direct insurance keep it up
4,razvan-alexandru-t-125646,Je n'ai pas pus payer en plusieurs fois pour cela je ne met pas 5 étoile mais sinon le prix est correcte et tout s'est effectue plutôt rapidement pour la souscription.,Direct Assurance,auto,train,2021-07-30,2021-07-01,I could not pay in several times for that I do not put 5 star but otherwise the price is correct and everything has been done rather quickly for the subscription.,Je ai pas pus payer en plusieurs fois pour cela je ne met pas 5 étoile mais sinon le prix est correcte et tout est effectue plutôt rapidement pour la souscription,I was not able to pay in several installments for this I do not give 5 stars but otherwise the price is correct and everything is done rather quickly for the subscription,avis_14_traduit.xlsx,je n ai pas pus payer en plusieurs fois pour cela je ne met pas 5 étoile mais sinon le prix est correcte et tout s est effectue plutôt rapidement pour la souscription,je n ai pas pus payer en plusieurs fois pour cela je ne met pas 5 étoile mais sinon le prix est correcte et tout s est effectue plutôt rapidement pour la souscription,Je n'ai pas pus payer en plusieurs fois pour cela je ne met pas 5 étoile mais sinon le prix est correcte et tout s'est effectue plutôt rapidement pour la souscription.,je ai pas pus payer en plusieurs fois pour cela je ne met pas 5 étoile mais sinon le prix est correcte et tout est effectue plutôt rapidement pour la souscription,i could not pay in several times for that i do not put 5 star but otherwise the price is correct and everything has been done rather quickly for the subscription,i was not able to pay in several installments for this i do not give 5 stars but otherwise the price is correct and everything is done rather quickly for the subscription
4,bernard-l-106042,"Simple et rapide
Prix honnête, conseillers efficaces.
Facilité de communication 
Espace client bien fait et pratique permettant d'avoir toutes les réponses facilement.",Direct Assurance,auto,train,2021-03-09,2021-03-01,"Simple and fast
Honest price, effective advisers.
Ease of communication
Well done and practical customer area allowing you to have all the answers easily.",Simple et rapide Prix honnête conseillers efficaces Facilité de communication Espace client bien fait et pratique permettant avoir toutes les réponses facilement,Simple and fast Honest price efficient advisors Ease of communication Well-designed and practical customer area allowing you to have all the answers easily,avis_17_traduit.xlsx,simple et rapide prix honnête conseillers efficaces facilité de communication espace client bien fait et pratique permettant d avoir toutes les réponses facilement,simple et rapide prix honnête conseillers efficaces facilité de communication espace client bien fait et pratique permettant d avoir toutes les réponses facilement,"Simple et rapide Prix honnête, conseillers efficaces. Facilité de communication Espace client bien fait et pratique permettant d'avoir toutes les réponses facilement.",simple et rapide prix honnête conseillers efficaces facilité de communication espace client bien fait et pratique permettant avoir toutes les réponses facilement,simple and fast honest price effective advisers ease of communication well done and practical customer area allowing you to have all the answers easily,simple and fast honest price efficient advisors ease of communication well designed and practical customer area allowing you to have all the answers easily
